DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
BLACK OAK PLAIN,"Zinc, Copper, Lead",Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Wallaroo Group,137.8221414,-33.9207694,near hole DDH 183
HOLMES WATSON,"Zinc, Silver, Lead",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),hydrothermal alteration,Karinya Shale,139.1856012,-34.4489395,near hole RC96TR 27
MIRIKATA,"Zinc, Silver, Lead",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Hutchison Group,135.190981,-29.8312183,near hole MRK005
MULBERRY,"Lead, Zinc",Low Significance,COULTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Archaean rocks,135.2161078,-33.8129583,near hole SHDD03
MITCHELL MH43,Zinc,Low Significance,COULTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Archaean-Palaeoproterozoic rocks,135.5678178,-34.0103464,near MH43 DH26
YUMALI,"Copper, Zinc",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),hydrothermal alteration,Kanmantoo Group,139.4785041,-35.5847545,near hole PH18
MILTALIE NORTH,"Manganese, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.8542496,-33.4210994,near RSH 40
BUNORA EAST,Zinc,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Archaean-Palaeoproterozoic rocks,136.3074007,-33.2787174,near CP 553
GUNTHER DAM,"Copper, Lead, Zinc",Low Significance,STUART SHELF,hydrothermal alteration,Woocalla Dolomite Member,137.3648806,-32.3538634,near hole PACMINEX T 3
FLORC 4,"Rare Earths, Zinc",Low Significance,MURRAY BASIN BASEMENT,hydrothermal alteration,Benda Siltstone,139.5397112,-33.7019665,FLORC 4
TORCH,Zinc,Low Significance,MOUNT WOODS INLIER,Gawler Range Volcanics,Gawler Range Volcanics,135.8029339,-29.7305493,RTH1
HELENE,"Zinc, Silver",Low Significance,ADELAIDE GEOSYNCLINE,Ulupa Siltstone,Ulupa Siltstone,139.1248823,-32.1657485,
KOOMOOLOO,"Coal, Zinc",Low Significance,MURRAY BASIN,Renmark beds,,139.4562392,-33.6635265,near hole 81MBR 39
ULOOLOO,"Copper, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,ironstone,Skillogalee Dolomite,138.9381533,-33.3304365,
BILLY SPRINGS,"Zinc, Silver, Copper, Lead, Antimony",Low Significance,ADELAIDE GEOSYNCLINE,Amberoona Formation,Amberoona Formation,139.4411574,-29.9072645,trench
OOLOO NORTH,"Lead, Silver, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,Billy Creek Formation,Billy Springs Formation,139.2361425,-29.7908875,E end of N lode
SOUTHERN LEASES,"Zinc, Silver, Lead",Locally Significant,CURNAMONA PROVINCE,Broken Hill Group,Broken Hill Group,141.435304,-31.9917906,no.3 airway
FOOTE,"Sandstone, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,Cooalinga Sandstone Member,,139.1809882,-34.2193045,
DANAE HILL,"Zinc, Copper, Lead",Low Significance,MOUNT WOODS INLIER,Gawler Range Volcanics,Gawler Range Volcanics,135.9307479,-29.7431583,near hole RDHN1
BROKEN HILL,"Zinc, Silver, Gold, Lead",World-wide Significance,CURNAMONA PROVINCE,Broken Hill Group,Broken Hill Group,141.46007,-31.9695096,open cut
BLACK SPRINGS,"Zinc, Lead",Low Significance,ADELAIDE GEOSYNCLINE,Cotabena Formation,Wilkawillina Limestone,138.7047415,-30.7578604,near hole BRD2
ZEALOUS,"Lead, Tin, Uranium, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.5205247,-32.6535224,small o/c of ironstone
UTERA,"Copper, Silver, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.9068436,-33.5784724,"hole BUDD192, lincolnminerals"
PENINSULA,Zinc,Low Significance,GAWLER RANGE VOLCANIC PROVINCE,Gawler Range Volcanics unit 8,Gawler Range Volcanics unit 8,135.2824819,-31.1303143,near hole 98KE 8
KANYAKA NORTH,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Parachilna Formation,,138.2912175,-32.0501364,trench
KOKATHA,"Lead, Phosphate, Zinc",Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Hopeful Hill Basalt,135.1823969,-31.2300183,
NORTH MINE,"Zinc, Silver, Lead",Locally Significant,CURNAMONA PROVINCE,Broken Hill Group,Broken Hill Group,141.487284,-31.9521766,No.2 shaft
THE PINNACLES,"Zinc, Silver, Lead",Locally Significant,CURNAMONA PROVINCE,Thackaringa Group,Thackaringa Group,141.327651,-32.0529206,quarry
BOOKARTOO,"Ochre, Mercury, Zinc",Significant to SA,ADELAIDE GEOSYNCLINE,deep weathering,Wilkawillina Limestone,138.5335375,-31.2597664,
HAPPY VALLEY,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Sturt Tillite,,138.5808032,-35.0665825,
WHEAL ELLEN,"Lead, Silver, Arsenic, Gold, Copper, Garnet, Zinc",Locally Significant,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Tapanappa Formation,Tapanappa Formation,138.9270772,-35.1874105,main shaft
FRANKTON GOSSAN,Zinc,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Kanmantoo Group unit 2,139.2012382,-34.3082385,near hole Frankton 2.
DAYANNA,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup unit 19,,140.1455812,-31.8930415,near hole DD97KY408
SPARE RIB,"Lead, Silver, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Gawler Range Volcanics,,136.4363917,-32.6594744,
WESTERN SCHIST BELT,"Zinc, Tungsten",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Creek Metamorphics,,139.6529934,-29.9711205,
PARKINSON DAM,"Silver, Gold, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),quartz vein,Corunna Conglomerate,137.1725456,-32.5346144,near hole RC06PD028
MANNEQUIN,"Silver, Graphite, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.4499597,-32.6412784,near hole MDRC 28
