Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
GLOVERS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,138.987377,-34.785153
GOLDEN CROWN NO.1,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,REGOLITH,Saddleworth Formation,138.97512,-34.790213
GOLDEN CROWN NO.2,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Saddleworth Formation,138.977257,-34.774471
GOLDEN CROWN NO.4,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Saddleworth Formation,138.974947,-34.779052
HAEUSLERS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Backstairs Passage Formation,138.995557,-34.771605
HYNES ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Other,ALLUVIUM,Holocene alluvial/fluvial unit 1,-,-,138.969355,-34.796366
BIRTHDAY GIFT,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Burra Group,138.97553,-34.795011
NAZA BAZA,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Backstairs Passage Formation,138.99735,-34.786817
PROSPERITY,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Carrickalinga Head Formation,138.983079,-34.771059
YOUNG AUSTRALIAN,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Saddleworth Formation,138.98976,-34.789781
VICTORY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,GOSSAN,deep weathering,SLATE,Burra Group,138.971396,-34.785294
ROSS,Gold,Low Significance,-,-,ALLUVIUM,Holocene alluvial/fluvial unit 1,-,-,138.971697,-34.787208
PRINCE OF WALES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Saddleworth Formation,138.975767,-34.779148
PIPE CLAY REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,REGOLITH,Saddleworth Formation,138.973795,-34.795983
MADDENS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Saddleworth Formation,138.969159,-34.787421
LUCKY HIT JUNCTION,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,QUARTZITE,Burra Group,138.975399,-34.790984
LILIAN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Saddleworth Formation,138.974412,-34.791863
HIDDEN SECRET,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Burra Group,138.97146,-34.793602
GOLDEN HOPE,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Saddleworth Formation,138.970343,-34.793739
GOLDEN CROWN NO.3,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,UNCONSOLIDATED REGOLITH,Burra Group,138.973546,-34.791126
BENTLEY GREENWOOD,"Uranium, Uranium Oxide",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Structural-fold,IRONSTONE (UNDIFF. ORIGIN),hydrothermal alteration,MIGMATITE,Corundum Creek Schist Member,139.3789,-30.217689
UMBERATANA,Copper,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,LIMESTONE,Opaminda Formation,139.244006,-30.202769
INGLISTON,Copper,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),-,-,-,-,-,139.359453,-30.134061
GREENHILL SOUTH,Copper,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),-,-,-,SILTSTONE,Blue Mine Conglomerate,139.352238,-30.129075
WALLACE GULLY,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,ALLUVIUM,Holocene alluvial/fluvial unit 2,TILLITE,Bolla Bollana Tillite,139.332632,-30.158137
WEALTHY KING,Copper,Low Significance,YUDNAMUTANA TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,IRONSTONE (UNDIFF. ORIGIN),Opaminda Formation,SCHIST,Wooltana Volcanics,139.290302,-30.174519
WHEAL FROST,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,TECTONITE,hydrothermal alteration,QUARTZITE,Paralana Quartzite,139.335135,-30.168948
ERINA,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Tarcowie Siltstone,139.133759,-32.203581
HENNIGS COMMONWEALTH,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Appila Tillite,139.109082,-32.974247
